ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida
AN,01/01/2020,0,0,0,0,0,0
AR,01/01/2020,0,0,0,0,0,0
AS,01/01/2020,0,0,0,0,0,0
CB,01/01/2020,0,0,0,0,0,0
CE,01/01/2020,1,0,0,1,0,0
CL,01/01/2020,0,0,0,0,0,0
CM,01/01/2020,0,0,0,0,0,0
CN,01/01/2020,0,0,0,0,0,0
CT,01/01/2020,3,3,0,0,0,0
EX,01/01/2020,0,0,0,0,0,0
GA,01/01/2020,0,0,0,0,0,0
IB,01/01/2020,0,0,0,0,0,0
MC,01/01/2020,0,0,0,0,0,0
MD,01/01/2020,3,3,0,0,0,0
ML,01/01/2020,0,0,0,0,0,0
NC,01/01/2020,0,0,0,0,0,0
PV,01/01/2020,0,0,0,0,0,0
RI,01/01/2020,0,0,0,0,0,0
VC,01/01/2020,3,3,0,0,0,0
AN,02/01/2020,0,0,0,0,0,0
AR,02/01/2020,0,0,0,0,0,0
AS,02/01/2020,0,0,0,0,0,0
CB,02/01/2020,0,0,0,0,0,0
CE,02/01/2020,0,0,0,0,0,0
CL,02/01/2020,0,0,0,0,0,0
CM,02/01/2020,0,0,0,0,0,0
CN,02/01/2020,0,0,0,0,0,0
CT,02/01/2020,9,9,0,0,0,0
EX,02/01/2020,0,0,0,0,0,0
GA,02/01/2020,2,2,0,0,0,0
IB,02/01/2020,0,0,0,0,0,0
MC,02/01/2020,0,0,0,0,0,0
MD,02/01/2020,4,4,0,0,0,0
ML,02/01/2020,0,0,0,0,0,0
NC,02/01/2020,0,0,0,0,0,0
PV,02/01/2020,0,0,0,0,0,0
RI,02/01/2020,0,0,0,0,0,0
VC,02/01/2020,2,2,0,0,0,0
AN,03/01/2020,0,0,0,0,0,0
AR,03/01/2020,0,0,0,0,0,0
AS,03/01/2020,0,0,0,0,0,0
CB,03/01/2020,0,0,0,0,0,0
CE,03/01/2020,0,0,0,0,0,0
CL,03/01/2020,0,0,0,0,0,0
CM,03/01/2020,0,0,0,0,0,0
CN,03/01/2020,0,0,0,0,0,0
CT,03/01/2020,7,7,0,0,0,0
EX,03/01/2020,0,0,0,0,0,0
GA,03/01/2020,2,2,0,0,0,0
IB,03/01/2020,0,0,0,0,0,0
MC,03/01/2020,0,0,0,0,0,0
MD,03/01/2020,3,2,0,1,0,0
ML,03/01/2020,0,0,0,0,0,0
NC,03/01/2020,0,0,0,0,0,0
PV,03/01/2020,0,0,0,0,0,0
RI,03/01/2020,2,2,0,0,0,0
VC,03/01/2020,0,0,0,0,0,0
AN,04/01/2020,0,0,0,0,0,0
AR,04/01/2020,0,0,0,0,0,0
AS,04/01/2020,0,0,0,0,0,0
CB,04/01/2020,0,0,0,0,0,0
CE,04/01/2020,1,0,0,1,0,0
CL,04/01/2020,0,0,0,0,0,0
CM,04/01/2020,0,0,0,0,0,0
CN,04/01/2020,0,0,0,0,0,0
CT,04/01/2020,4,4,0,0,0,0
EX,04/01/2020,0,0,0,0,0,0
GA,04/01/2020,4,3,0,1,0,0
IB,04/01/2020,0,0,0,0,0,0
MC,04/01/2020,0,0,0,0,0,0
MD,04/01/2020,5,3,0,2,0,0
ML,04/01/2020,0,0,0,0,0,0
NC,04/01/2020,0,0,0,0,0,0
PV,04/01/2020,0,0,0,0,0,0
RI,04/01/2020,0,0,0,0,0,0
VC,04/01/2020,0,0,0,0,0,0
AN,05/01/2020,0,0,0,0,0,0
AR,05/01/2020,0,0,0,0,0,0
AS,05/01/2020,0,0,0,0,0,0
CB,05/01/2020,0,0,0,0,0,0
CE,05/01/2020,0,0,0,0,0,0
CL,05/01/2020,0,0,0,0,0,0
CM,05/01/2020,0,0,0,0,0,0
CN,05/01/2020,0,0,0,0,0,0
CT,05/01/2020,4,4,0,0,0,0
EX,05/01/2020,0,0,0,0,0,0
GA,05/01/2020,2,2,0,0,0,0
IB,05/01/2020,0,0,0,0,0,0
MC,05/01/2020,0,0,0,0,0,0
MD,05/01/2020,3,1,0,2,0,0
ML,05/01/2020,0,0,0,0,0,0
NC,05/01/2020,0,0,0,0,0,0
PV,05/01/2020,0,0,0,0,0,0
RI,05/01/2020,2,2,0,0,0,0
VC,05/01/2020,1,1,0,0,0,0
AN,06/01/2020,0,0,0,0,0,0
AR,06/01/2020,0,0,0,0,0,0
AS,06/01/2020,0,0,0,0,0,0
CB,06/01/2020,0,0,0,0,0,0
CE,06/01/2020,0,0,0,0,0,0
CL,06/01/2020,0,0,0,0,0,0
CM,06/01/2020,0,0,0,0,0,0
CN,06/01/2020,0,0,0,0,0,0
CT,06/01/2020,9,8,0,0,0,1
EX,06/01/2020,0,0,0,0,0,0
GA,06/01/2020,2,1,0,1,0,0
IB,06/01/2020,0,0,0,0,0,0
MC,06/01/2020,0,0,0,0,0,0
MD,06/01/2020,6,2,0,4,0,0
ML,06/01/2020,0,0,0,0,0,0
NC,06/01/2020,0,0,0,0,0,0
PV,06/01/2020,0,0,0,0,0,0
RI,06/01/2020,1,1,0,0,0,0
VC,06/01/2020,2,2,0,0,0,0
AN,07/01/2020,0,0,0,0,0,0
AR,07/01/2020,0,0,0,0,0,0
AS,07/01/2020,0,0,0,0,0,0
CB,07/01/2020,0,0,0,0,0,0
CE,07/01/2020,0,0,0,0,0,0
CL,07/01/2020,0,0,0,0,0,0
CM,07/01/2020,0,0,0,0,0,0
CN,07/01/2020,0,0,0,0,0,0
CT,07/01/2020,10,10,0,0,0,0
EX,07/01/2020,0,0,0,0,0,0
GA,07/01/2020,3,3,0,0,0,0
IB,07/01/2020,0,0,0,0,0,0
MC,07/01/2020,1,0,0,1,0,0
MD,07/01/2020,2,1,0,1,0,0
ML,07/01/2020,0,0,0,0,0,0
NC,07/01/2020,0,0,0,0,0,0
PV,07/01/2020,0,0,0,0,0,0
RI,07/01/2020,1,1,0,0,0,0
VC,07/01/2020,1,1,0,0,0,0
AN,08/01/2020,0,0,0,0,0,0
AR,08/01/2020,0,0,0,0,0,0
AS,08/01/2020,0,0,0,0,0,0
CB,08/01/2020,0,0,0,0,0,0
CE,08/01/2020,0,0,0,0,0,0
CL,08/01/2020,0,0,0,0,0,0
CM,08/01/2020,0,0,0,0,0,0
CN,08/01/2020,0,0,0,0,0,0
CT,08/01/2020,16,16,0,0,0,0
EX,08/01/2020,0,0,0,0,0,0
GA,08/01/2020,0,0,0,0,0,0
IB,08/01/2020,0,0,0,0,0,0
MC,08/01/2020,0,0,0,0,0,0
MD,08/01/2020,9,3,0,6,0,0
ML,08/01/2020,0,0,0,0,0,0
NC,08/01/2020,0,0,0,0,0,0
PV,08/01/2020,0,0,0,0,0,0
RI,08/01/2020,0,0,0,0,0,0
VC,08/01/2020,0,0,0,0,0,0
AN,09/01/2020,0,0,0,0,0,0
AR,09/01/2020,0,0,0,0,0,0
AS,09/01/2020,0,0,0,0,0,0
CB,09/01/2020,0,0,0,0,0,0
CE,09/01/2020,0,0,0,0,0,0
CL,09/01/2020,0,0,0,0,0,0
CM,09/01/2020,0,0,0,0,0,0
CN,09/01/2020,0,0,0,0,0,0
CT,09/01/2020,12,12,0,0,0,0
EX,09/01/2020,0,0,0,0,0,0
GA,09/01/2020,0,0,0,0,0,0
IB,09/01/2020,0,0,0,0,0,0
MC,09/01/2020,0,0,0,0,0,0
MD,09/01/2020,9,3,0,6,0,0
ML,09/01/2020,0,0,0,0,0,0
NC,09/01/2020,0,0,0,0,0,0
PV,09/01/2020,0,0,0,0,0,0
RI,09/01/2020,0,0,0,0,0,0
VC,09/01/2020,1,0,0,1,0,0
AN,10/01/2020,0,0,0,0,0,0
AR,10/01/2020,0,0,0,0,0,0
AS,10/01/2020,0,0,0,0,0,0
CB,10/01/2020,0,0,0,0,0,0
CE,10/01/2020,0,0,0,0,0,0
CL,10/01/2020,0,0,0,0,0,0
CM,10/01/2020,0,0,0,0,0,0
CN,10/01/2020,0,0,0,0,0,0
CT,10/01/2020,17,17,0,0,0,0
EX,10/01/2020,0,0,0,0,0,0
GA,10/01/2020,1,1,0,0,0,0
IB,10/01/2020,0,0,0,0,0,0
MC,10/01/2020,0,0,0,0,0,0
MD,10/01/2020,8,4,0,4,0,0
ML,10/01/2020,0,0,0,0,0,0
NC,10/01/2020,0,0,0,0,0,0
PV,10/01/2020,0,0,0,0,0,0
RI,10/01/2020,1,1,0,0,0,0
VC,10/01/2020,0,0,0,0,0,0
AN,11/01/2020,0,0,0,0,0,0
AR,11/01/2020,0,0,0,0,0,0
AS,11/01/2020,0,0,0,0,0,0
CB,11/01/2020,0,0,0,0,0,0
CE,11/01/2020,0,0,0,0,0,0
CL,11/01/2020,0,0,0,0,0,0
CM,11/01/2020,0,0,0,0,0,0
CN,11/01/2020,0,0,0,0,0,0
CT,11/01/2020,17,17,0,0,0,0
EX,11/01/2020,0,0,0,0,0,0
GA,11/01/2020,6,5,0,1,0,0
IB,11/01/2020,0,0,0,0,0,0
MC,11/01/2020,0,0,0,0,0,0
MD,11/01/2020,5,3,0,2,0,0
ML,11/01/2020,0,0,0,0,0,0
NC,11/01/2020,0,0,0,0,0,0
PV,11/01/2020,0,0,0,0,0,0
RI,11/01/2020,0,0,0,0,0,0
VC,11/01/2020,1,1,0,0,0,0
AN,12/01/2020,0,0,0,0,0,0
AR,12/01/2020,0,0,0,0,0,0
AS,12/01/2020,0,0,0,0,0,0
CB,12/01/2020,0,0,0,0,0,0
CE,12/01/2020,0,0,0,0,0,0
CL,12/01/2020,0,0,0,0,0,0
CM,12/01/2020,0,0,0,0,0,0
CN,12/01/2020,0,0,0,0,0,0
CT,12/01/2020,25,25,0,0,0,0
EX,12/01/2020,0,0,0,0,0,0
GA,12/01/2020,1,1,0,0,0,0
IB,12/01/2020,0,0,0,0,0,0
MC,12/01/2020,1,1,0,0,0,0
MD,12/01/2020,6,3,0,3,0,0
ML,12/01/2020,0,0,0,0,0,0
NC,12/01/2020,0,0,0,0,0,0
PV,12/01/2020,0,0,0,0,0,0
RI,12/01/2020,0,0,0,0,0,0
VC,12/01/2020,1,0,0,1,0,0
AN,13/01/2020,0,0,0,0,0,0
AR,13/01/2020,0,0,0,0,0,0
AS,13/01/2020,0,0,0,0,0,0
CB,13/01/2020,0,0,0,0,0,0
CE,13/01/2020,0,0,0,0,0,0
CL,13/01/2020,0,0,0,0,0,0
CM,13/01/2020,0,0,0,0,0,0
CN,13/01/2020,0,0,0,0,0,0
CT,13/01/2020,15,15,0,0,0,0
EX,13/01/2020,0,0,0,0,0,0
GA,13/01/2020,0,0,0,0,0,0
IB,13/01/2020,0,0,0,0,0,0
MC,13/01/2020,0,0,0,0,0,0
MD,13/01/2020,11,6,0,5,0,0
ML,13/01/2020,0,0,0,0,0,0
NC,13/01/2020,0,0,0,0,0,0
PV,13/01/2020,0,0,0,0,0,0
RI,13/01/2020,2,2,0,0,0,0
VC,13/01/2020,1,1,0,0,0,0
AN,14/01/2020,0,0,0,0,0,0
AR,14/01/2020,1,1,0,0,0,0
AS,14/01/2020,0,0,0,0,0,0
CB,14/01/2020,0,0,0,0,0,0
CE,14/01/2020,0,0,0,0,0,0
CL,14/01/2020,0,0,0,0,0,0
CM,14/01/2020,0,0,0,0,0,0
CN,14/01/2020,0,0,0,0,0,0
CT,14/01/2020,2,2,0,0,0,0
EX,14/01/2020,0,0,0,0,0,0
GA,14/01/2020,1,1,0,0,0,0
IB,14/01/2020,0,0,0,0,0,0
MC,14/01/2020,0,0,0,0,0,0
MD,14/01/2020,6,3,0,3,0,0
ML,14/01/2020,0,0,0,0,0,0
NC,14/01/2020,0,0,0,0,0,0
PV,14/01/2020,0,0,0,0,0,0
RI,14/01/2020,0,0,0,0,0,0
VC,14/01/2020,0,0,0,0,0,0
AN,15/01/2020,0,0,0,0,0,0
AR,15/01/2020,0,0,0,0,0,0
AS,15/01/2020,0,0,0,0,0,0
CB,15/01/2020,0,0,0,0,0,0
CE,15/01/2020,0,0,0,0,0,0
CL,15/01/2020,0,0,0,0,0,0
CM,15/01/2020,0,0,0,0,0,0
CN,15/01/2020,0,0,0,0,0,0
CT,15/01/2020,9,9,0,0,0,0
EX,15/01/2020,0,0,0,0,0,0
GA,15/01/2020,0,0,0,0,0,0
IB,15/01/2020,0,0,0,0,0,0
MC,15/01/2020,0,0,0,0,0,0
MD,15/01/2020,7,3,0,4,0,0
ML,15/01/2020,0,0,0,0,0,0
NC,15/01/2020,0,0,0,0,0,0
PV,15/01/2020,0,0,0,0,0,0
RI,15/01/2020,0,0,0,0,0,0
VC,15/01/2020,1,0,0,1,0,0
AN,16/01/2020,0,0,0,0,0,0
AR,16/01/2020,1,1,0,0,0,0
AS,16/01/2020,0,0,0,0,0,0
CB,16/01/2020,0,0,0,0,0,0
CE,16/01/2020,0,0,0,0,0,0
CL,16/01/2020,0,0,0,0,0,0
CM,16/01/2020,0,0,0,0,0,0
CN,16/01/2020,0,0,0,0,0,0
CT,16/01/2020,10,10,0,0,0,0
EX,16/01/2020,0,0,0,0,0,0
GA,16/01/2020,0,0,0,0,0,0
IB,16/01/2020,0,0,0,0,0,0
MC,16/01/2020,0,0,0,0,0,0
MD,16/01/2020,8,2,0,6,0,0
ML,16/01/2020,0,0,0,0,0,0
NC,16/01/2020,0,0,0,0,0,0
PV,16/01/2020,0,0,0,0,0,0
RI,16/01/2020,0,0,0,0,0,0
VC,16/01/2020,2,1,0,1,0,0
AN,17/01/2020,0,0,0,0,0,0
AR,17/01/2020,0,0,0,0,0,0
AS,17/01/2020,0,0,0,0,0,0
CB,17/01/2020,0,0,0,0,0,0
CE,17/01/2020,0,0,0,0,0,0
CL,17/01/2020,0,0,0,0,0,0
CM,17/01/2020,0,0,0,0,0,0
CN,17/01/2020,0,0,0,0,0,0
CT,17/01/2020,10,10,0,0,0,0
EX,17/01/2020,0,0,0,0,0,0
GA,17/01/2020,0,0,0,0,0,0
IB,17/01/2020,0,0,0,0,0,0
MC,17/01/2020,0,0,0,0,0,0
MD,17/01/2020,6,2,0,4,0,0
ML,17/01/2020,0,0,0,0,0,0
NC,17/01/2020,0,0,0,0,0,0
PV,17/01/2020,0,0,0,0,0,0
RI,17/01/2020,0,0,0,0,0,0
VC,17/01/2020,1,0,0,1,0,0
AN,18/01/2020,0,0,0,0,0,0
AR,18/01/2020,2,2,0,0,0,0
AS,18/01/2020,0,0,0,0,0,0
CB,18/01/2020,0,0,0,0,0,0
CE,18/01/2020,0,0,0,0,0,0
CL,18/01/2020,0,0,0,0,0,0
CM,18/01/2020,0,0,0,0,0,0
CN,18/01/2020,0,0,0,0,0,0
CT,18/01/2020,12,12,0,0,0,0
EX,18/01/2020,0,0,0,0,0,0
GA,18/01/2020,0,0,0,0,0,0
IB,18/01/2020,0,0,0,0,0,0
MC,18/01/2020,0,0,0,0,0,0
MD,18/01/2020,7,5,0,2,0,0
ML,18/01/2020,0,0,0,0,0,0
NC,18/01/2020,0,0,0,0,0,0
PV,18/01/2020,0,0,0,0,0,0
RI,18/01/2020,0,0,0,0,0,0
VC,18/01/2020,0,0,0,0,0,0
AN,19/01/2020,1,1,0,0,0,0
AR,19/01/2020,0,0,0,0,0,0
AS,19/01/2020,0,0,0,0,0,0
CB,19/01/2020,0,0,0,0,0,0
CE,19/01/2020,0,0,0,0,0,0
CL,19/01/2020,0,0,0,0,0,0
CM,19/01/2020,0,0,0,0,0,0
CN,19/01/2020,0,0,0,0,0,0
CT,19/01/2020,10,10,0,0,0,0
EX,19/01/2020,0,0,0,0,0,0
GA,19/01/2020,1,1,0,0,0,0
IB,19/01/2020,0,0,0,0,0,0
MC,19/01/2020,0,0,0,0,0,0
MD,19/01/2020,7,1,0,6,0,0
ML,19/01/2020,0,0,0,0,0,0
NC,19/01/2020,0,0,0,0,0,0
PV,19/01/2020,0,0,0,0,0,0
RI,19/01/2020,1,1,0,0,0,0
VC,19/01/2020,0,0,0,0,0,0
AN,20/01/2020,0,0,0,0,0,0
AR,20/01/2020,0,0,0,0,0,0
AS,20/01/2020,0,0,0,0,0,0
CB,20/01/2020,0,0,0,0,0,0
CE,20/01/2020,0,0,0,0,0,0
CL,20/01/2020,0,0,0,0,0,0
CM,20/01/2020,0,0,0,0,0,0
CN,20/01/2020,0,0,0,0,0,0
CT,20/01/2020,12,12,0,0,0,0
EX,20/01/2020,0,0,0,0,0,0
GA,20/01/2020,3,3,0,0,0,0
IB,20/01/2020,0,0,0,0,0,0
MC,20/01/2020,0,0,0,0,0,0
MD,20/01/2020,6,4,0,2,0,0
ML,20/01/2020,0,0,0,0,0,0
NC,20/01/2020,0,0,0,0,0,0
PV,20/01/2020,0,0,0,0,0,0
RI,20/01/2020,0,0,0,0,0,0
VC,20/01/2020,0,0,0,0,0,0
AN,21/01/2020,1,0,0,1,0,0
